64, n004-init, 68680267223907161/562949953421312
73, n004-end, 549782489428943765/4503599627370496
55, n002-end, 550139080295803871/4503599627370496
86, n007-init, 137676117352242771/1125899906842624
86, n007-end, 137676117352242771/1125899906842624
57, n004-init, 551411468184538895/4503599627370496
65, final, 1102996582616205707/9007199254740992
56, n004-init, 1104366718316247679/9007199254740992
69, n004-end, 552462521385558727/4503599627370496
53, initial, 34553548555572495/281474976710656
86, n014-init, 553833077310806605/4503599627370496
54, n002-end, 553851993884085665/4503599627370496
81, n007-init, 1107737341400333319/9007199254740992
78, n004-init, 1109310806501662021/9007199254740992
74, n007-end, 554941933181552737/4503599627370496
66, n011-end, 1110315089200372957/9007199254740992
72, final, 555410525601544469/4503599627370496
53, n002-init, 557448945108007863/4503599627370496
81, n007-end, 1115597719878327635/9007199254740992
86, n014-end, 69761111893667235/562949953421312
74, n014-init, 1119488717770060601/9007199254740992
53, n002-end, 1121106144071094959/9007199254740992
55, n004-init, 561060983932567903/4503599627370496
52, initial, 8769113904272721/70368744177664
54, n004-init, 70179010592710953/562949953421312
73, n004-init, 1123688383890233975/9007199254740992
63, n004-end, 562189504568858903/4503599627370496
88, n028-end, 140899220278580429/1125899906842624
91, n028-init, 140899220278580429/1125899906842624
74, n014-end, 1127353581673866181/9007199254740992
81, n014-init, 1127353581673866181/9007199254740992
52, n002-init, 70561441685124121/562949953421312
66, final, 1130155986731362235/9007199254740992
69, n004-init, 566032987222755553/4503599627370496
81, n014-end, 1136129343489928775/9007199254740992
86, n016-init, 1136129343489928775/9007199254740992
53, n004-init, 1139096421459774501/9007199254740992
52, n002-end, 71316869772680831/562949953421312
88, final, 1143206927351019395/9007199254740992
87, n027-end, 572570078898141993/4503599627370496
51, initial, 559298214549841/4398046511104
62, n004-end, 143629119423472245/1125899906842624
51, n002-init, 576837906574262155/4503599627370496
50, initial, 36091163225828499/281474976710656
63, n004-init, 1156418333304812273/9007199254740992
58, n004-end, 1156830803392223321/9007199254740992
49, initial, 36184643658174519/281474976710656
86, n016-end, 1158852355968307463/9007199254740992
74, n017-init, 1158852355968307463/9007199254740992
87, final, 580829306517111771/4503599627370496
52, n004-init, 72619781072560719/562949953421312
48, initial, 72646146733331621/562949953421312
50, n002-init, 581304629329445495/4503599627370496
69, n004-end, 582294314541287297/4503599627370496
51, n002-end, 582572090313283611/4503599627370496
94, n004-end, 583164018343648923/4503599627370496
50, n002-end, 291645680946323823/2251799813685248
62, final, 1166986848410147453/9007199254740992
48, n002-init, 291807916570402445/2251799813685248
49, n002-init, 584052769332373705/4503599627370496
86, n011-init, 1179097426245354299/9007199254740992
48, n002-end, 36874228557761001/281474976710656
47, initial, 36875231160795027/281474976710656
58, n004-init, 36877569755068977/281474976710656
49, n002-end, 591534269793489555/4503599627370496
50, n004-init, 295864599559266641/2251799813685248
51, n004-init, 1183697554236329997/9007199254740992
60, n004-end, 1185209207970236475/9007199254740992
47, n002-init, 593212785441090791/4503599627370496
46, initial, 37083306175923813/281474976710656
61, n004-end, 1188056343882944581/9007199254740992
45, initial, 74336423853013539/562949953421312
53, n004-end, 1191225407002602901/9007199254740992
74, n017-end, 1191269684389617807/9007199254740992
